SL NO,BRANDS,PRODUCTS,TOP NOTE,MIDDLE NOTE,BASE NOTE,DESCRIPTION,OCCASION
71,ARMANI,MANIA ARMANI,"Mandarin, Pear","Mandarin, Saffron, Green Notes","Cedarwood, Vetiver, Patchouli","Mania Armani by Armani is a captivating fragrance that opens with mandarin, pear, creating a fresh and inviting first impression. The heart reveals mandarin, saffron, adding depth and sophistication, while the base of cedarwood, vetiver leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
72,ARMANI,PRIVE OUDH,"Saffron, Bergamot","Saffron, Rose, Spices","Oud, Incense, Patchouli","Prive Oudh by Armani is a captivating fragrance that opens with saffron, bergamot, creating a fresh and inviting first impression. The heart reveals saffron, rose, adding depth and sophistication, while the base of oud, incense leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
73,ARMANI,STRONGER WITH YOU OUD -,"Saffron, Bergamot","Pink Pepper, Cardamom, Lavender","Sage, Vanilla, Oud","Stronger With You Oud - by Armani is a captivating fragrance that opens with saffron, bergamot, creating a fresh and inviting first impression. The heart reveals pink pepper, cardamom, adding depth and sophistication, while the base of sage, vanilla leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
74,ARMANI,STRONGER WITH YOU LEATHER,"Grapefruit, Mint","Chestnut, Spices, Elemi","Lavender, Sage, Leather","Stronger With You Leather by Armani is a captivating fragrance that opens with grapefruit, mint, creating a fresh and inviting first impression. The heart reveals chestnut, spices, adding depth and sophistication, while the base of lavender, sage leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
75,ARMANI,OUD PRIVE,"Saffron, Bergamot","Saffron, Incense, Rose","Oud, Patchouli, Cedar","Oud Prive by Armani is a captivating fragrance that opens with saffron, bergamot, creating a fresh and inviting first impression. The heart reveals saffron, incense, adding depth and sophistication, while the base of oud, patchouli leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
76,ARMANI,MUSC SHAMAL,"Apple, Bergamot","Citrus, Aldehydes, Spice","Rose, Musk, Jasmine","Musc Shamal by Armani is a captivating fragrance that opens with apple, bergamot, creating a fresh and inviting first impression. The heart reveals citrus, aldehydes, adding depth and sophistication, while the base of rose, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
77,ARMANI,PRIVE ROSE D'ARABIA,"Lychee, Bergamot","Saffron, Rose, Spices","Damask Rose, Patchouli, Oud","Prive Rose D'Arabia by Armani is a captivating fragrance that opens with lychee, bergamot, creating a fresh and inviting first impression. The heart reveals saffron, rose, adding depth and sophistication, while the base of damask rose, patchouli leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
78,ARMANI,STRONGER WITH SANDALWOOD,"Grapefruit, Mint","Cardamom, Pepper, Bergamot","Sage, Lavender, Sandalwood","Stronger With Sandalwood by Armani is a captivating fragrance that opens with grapefruit, mint, creating a fresh and inviting first impression. The heart reveals cardamom, pepper, adding depth and sophistication, while the base of sage, lavender leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
79,ARMANI,STRONGER WITH YOU PARFUM,"Apple, Bergamot","Chestnut, Spices, Elemi","Lavender, Sage, Vanilla","Stronger With You Parfum by Armani is a captivating fragrance that opens with apple, bergamot, creating a fresh and inviting first impression. The heart reveals chestnut, spices, adding depth and sophistication, while the base of lavender, sage leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
80,ATKINSONS,OUD SAVE THE QUEEN -,"Saffron, Bergamot","Bergamot, Earl Grey Tea, Clove","Orange Blossom, Jasmine, Leather","Oud Save The Queen - by Atkinsons is a captivating fragrance that opens with saffron, bergamot, creating a fresh and inviting first impression. The heart reveals bergamot, earl grey tea, adding depth and sophistication, while the base of orange blossom, jasmine leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
81,AZZARO,THE MOST WANTED PARFUM,"Mandarin, Pear","Ginger, Cardamom, Bergamot","Toffee, Woods, Sage","The Most Wanted Parfum by Azzaro is a captivating fragrance that opens with mandarin, pear, creating a fresh and inviting first impression. The heart reveals ginger, cardamom, adding depth and sophistication, while the base of toffee, woods leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
82,AZZARO,POUR HOMME,"Mandarin, Pear","Lavender, Lemon, Basil","Geranium, Vetiver, Patchouli","Pour Homme by Azzaro is a captivating fragrance that opens with mandarin, pear, creating a fresh and inviting first impression. The heart reveals lavender, lemon, adding depth and sophistication, while the base of geranium, vetiver leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
83,AZZARO,WANTED,"Apple, Bergamot","Lemon, Ginger, Lavender","Cardamom, Juniper, Apple","Wanted by Azzaro is a captivating fragrance that opens with apple, bergamot, creating a fresh and inviting first impression. The heart reveals lemon, ginger, adding depth and sophistication, while the base of cardamom, juniper leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
84,AZZARO,CHROME,"Grapefruit, Mint","Lemon, Bergamot, Neroli","Coriander, Jasmine, Cyclamen","Chrome by Azzaro is a captivating fragrance that opens with grapefruit, mint, creating a fresh and inviting first impression. The heart reveals lemon, bergamot, adding depth and sophistication, while the base of coriander, jasmine leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
85,AZZARO,WANTED BY NIGHT,"Apple, Bergamot","Cinnamon, Mandarin, Lavender","Red Cedar, Incense, Cumin","Wanted By Night by Azzaro is a captivating fragrance that opens with apple, bergamot, creating a fresh and inviting first impression. The heart reveals cinnamon, mandarin, adding depth and sophistication, while the base of red cedar, incense leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
86,AZZARO,MOST WANTED,"Apple, Bergamot","Cardamom, Toffee, Amberwood","Sage, Woods, Caramel","Most Wanted by Azzaro is a captivating fragrance that opens with apple, bergamot, creating a fresh and inviting first impression. The heart reveals cardamom, toffee, adding depth and sophistication, while the base of sage, woods leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
87,AZZARO,AZZARO POUR ELLE,"Apple, Bergamot","Cardamom, Orange, Champagne","Rose, Lily, Peach","Azzaro Pour Elle by Azzaro is a captivating fragrance that opens with apple, bergamot, creating a fresh and inviting first impression. The heart reveals cardamom, orange, adding depth and sophistication, while the base of rose, lily leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
88,AZZARO,FOREVER WANTED ELIXIR,"Mandarin, Pear","Raspberry, Bergamot, Cardamom","Lavender, Sage, Rose","Forever Wanted Elixir by Azzaro is a captivating fragrance that opens with mandarin, pear, creating a fresh and inviting first impression. The heart reveals raspberry, bergamot, adding depth and sophistication, while the base of lavender, sage leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
89,BATH & BODY WORKS,PINK CHIFFON,"Apple, Bergamot","Pear, Apple, Mandarin","Jasmine, Peony, Tiare","Pink Chiffon by Bath & Body Works is a captivating fragrance that opens with apple, bergamot, creating a fresh and inviting first impression. The heart reveals pear, apple, adding depth and sophistication, while the base of jasmine, peony leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
90,BOADICEA,BLUE SAPPHIRE,"Lemon, Mint","Lemon, Chamomile, Sage","Rose, Jasmine, Magnolia","Blue Sapphire by Boadicea is a captivating fragrance that opens with lemon, mint, creating a fresh and inviting first impression. The heart reveals lemon, chamomile, adding depth and sophistication, while the base of rose, jasmine leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Gym / Casual
91,BODICEA THE VICTORIOUS,HANUMAN,"Mandarin, Pear","Citrus, Saffron, Spices","Rose, Oud, Jasmine","Hanuman by Bodicea The Victorious is a captivating fragrance that opens with mandarin, pear, creating a fresh and inviting first impression. The heart reveals citrus, saffron, adding depth and sophistication, while the base of rose, oud leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
92,BOND NO 9,NEY YORK OUD,"Saffron, Bergamot","Plum, Red Wine, Saffron","Rose, Honey, Oud","Ney York Oud by Bond No 9 is a captivating fragrance that opens with saffron, bergamot, creating a fresh and inviting first impression. The heart reveals plum, red wine, adding depth and sophistication, while the base of rose, honey leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
93,BRUT,CLASSIC,"Apple, Bergamot","Lavender, Anise, Basil","Geranium, Jasmine, Ylang-Ylang","Classic by Brut is a captivating fragrance that opens with apple, bergamot, creating a fresh and inviting first impression. The heart reveals lavender, anise, adding depth and sophistication, while the base of geranium, jasmine leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
94,BURBERRY,BODY WOMEN,"Lemon, Pink Pepper","Peach, Freesia, Wormwood","Rose, Iris, Sandalwood","Body Women by Burberry is a captivating fragrance that opens with lemon, pink pepper, creating a fresh and inviting first impression. The heart reveals peach, freesia, adding depth and sophistication, while the base of rose, iris leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
95,BURBERRY,BRIT RHYTHM MEN,"Lemon, Pink Pepper","Basil, Cardamom, Juniper","Leather, Patchouli, Styrax","Brit Rhythm Men by Burberry is a captivating fragrance that opens with lemon, pink pepper, creating a fresh and inviting first impression. The heart reveals basil, cardamom, adding depth and sophistication, while the base of leather, patchouli leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
96,BURBERRY,MR BURBERY,"Apple, Bergamot","Grapefruit, Cardamom, Tarragon","Birch Leaf, Nutmeg, Cedar","Mr Burbery by Burberry is a captivating fragrance that opens with apple, bergamot, creating a fresh and inviting first impression. The heart reveals grapefruit, cardamom, adding depth and sophistication, while the base of birch leaf, nutmeg leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
97,BURBERRY,WEEKEND WOMEN,"Apple, Bergamot","Mandarin, Sage, Mignonette","Blue Hyacinth, Peach Blossom, Rose","Weekend Women by Burberry is a captivating fragrance that opens with apple, bergamot, creating a fresh and inviting first impression. The heart reveals mandarin, sage, adding depth and sophistication, while the base of blue hyacinth, peach blossom leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
