SL NO,BRANDS,PRODUCTS,TOP NOTE,MIDDLE NOTE,BASE NOTE,DESCRIPTION
81,AZZARO,THE MOST WANTED PARFUM,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover The Most Wanted Parfum by Azzaro, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
82,AZZARO,POUR  HOMME,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Pour  Homme by Azzaro, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
83,AZZARO,WANTED,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Wanted by Azzaro, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
84,AZZARO,CHROME,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Chrome by Azzaro, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
85,AZZARO,WANTED BY NIGHT,"Apple, Bergamot","Cinnamon, Lavender","Vanilla, Tonka Bean, Amber","Discover Wanted By Night by Azzaro, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of cinnamon and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
86,AZZARO,MOST WANTED,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Most Wanted by Azzaro, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
87,AZZARO,AZZARO POUR ELLE,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Azzaro Pour Elle by Azzaro, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
88,AZZARO,FOREVER WANTED ELIXIR,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Forever Wanted Elixir by Azzaro, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
89,BATH & BODY WORKS,PINK CHIFFON,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Pink Chiffon by Bath & Body Works, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
90,BOADICEA,BLUE SAPPHIRE,"Lemon, Mint","Lavender, Geranium","Amberwood, Musk, Cedar","Discover Blue Sapphire by Boadicea, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of amberwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
91,BODICEA THE VICTORIOUS,HANUMAN,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Hanuman by Bodicea The Victorious, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
92,BOND NO 9,NEY YORK OUD,"Saffron, Bergamot","Rose, Jasmine","Oud, Amber, Musk","Discover Ney York Oud by Bond No 9, a refined fragrance crafted to make a lasting impression. It opens with saffron and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of oud and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
93,BRUT,CLASSIC,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Classic by Brut, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
94,BURBERRY,BODY WOMEN,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Body Women by Burberry, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
95,BURBERRY,BRIT RHYTHM MEN,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Brit Rhythm Men by Burberry, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
96,BURBERRY,MR BURBERY,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Mr Burbery by Burberry, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
97,BURBERRY,WEEKEND WOMEN,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Weekend Women by Burberry, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
98,BURBERRY,MY BURBERY BLACK WOMEN,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover My Burbery Black Women by Burberry, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
99,BURBERRY,TOUCH MEN,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Touch Men by Burberry, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
100,BURBERRY,HERO,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Hero by Burberry, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
101,BURBERRY,BURBERRY HER ELIXIR DE PERFUME,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Burberry Her Elixir De Perfume by Burberry, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
102,BURBERRY,LONDON MEN,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover London Men by Burberry, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
103,BURBERRY,FOR HER,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover For Her by Burberry, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
104,BVLGARI,AQUA,"Marine Notes, Lemon","Lavender, Neroli","Musk, Cedarwood, Amber","Discover Aqua by Bvlgari, a refined fragrance crafted to make a lasting impression. It opens with marine notes and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of musk and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
105,BVLGARI,AQUA AMARA,"Marine Notes, Lemon","Lavender, Neroli","Musk, Cedarwood, Amber","Discover Aqua Amara by Bvlgari, a refined fragrance crafted to make a lasting impression. It opens with marine notes and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of musk and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
106,BVLGARI,WOOD ESSENCE,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Wood Essence by Bvlgari, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
107,BVLGARI,TYGAR,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Tygar by Bvlgari, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
108,BVLGARI,AQUA MARINE,"Marine Notes, Lemon","Lavender, Neroli","Musk, Cedarwood, Amber","Discover Aqua Marine by Bvlgari, a refined fragrance crafted to make a lasting impression. It opens with marine notes and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of musk and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
109,BVLGARI,EXTREME,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Extreme by Bvlgari, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
